calculated steering, timestamp, original steering
-0.232710,1584543185.318812,-0.278895
-0.145444,1584543185.418665,-0.143948
-0.029089,1584543185.518764,-0
-0.290888,1584543185.619528,-0
-0.232710,1584543185.720703,-0
-0.203622,1584543185.819061,-0
-0.174533,1584543185.919185,-0.0809625
-0.203622,1584543186.018835,-0.0809625
-0.174533,1584543186.118430,-0.164934
-0.145444,1584543186.220685,-0.0809625
-0.087266,1584543186.318510,-0.0809625
-0.087266,1584543186.418349,-0
-0.087266,1584543186.618990,-0
0.029089,1584543186.720501,-0
0.029089,1584543186.818449,-0.167935
0.058178,1584543186.918228,-0.18893
-0.203622,1584543187.018510,-0.14994
-0.203622,1584543187.120916,-0.122953
-0.116355,1584543187.220739,-0.00599229
-0.029089,1584543187.318413,0.0569845
0.087266,1584543187.418372,0.212926
-0.145444,1584543187.518136,0.254917
-0.174533,1584543187.619028,-0
-0.232710,1584543187.720345,-0
-0.261799,1584543187.818388,-0
-0.261799,1584543187.920668,-0
-0.232710,1584543188.021156,-0.278895
-0.232710,1584543188.118187,-0
-0.261799,1584543188.220302,-0
-0.203622,1584543188.318288,-0
-0.232710,1584543188.418174,-0
-0.261799,1584543188.517917,-0
-0.261799,1584543188.618744,-0
-0.261799,1584543188.720064,-0
-0.261799,1584543188.821004,-0
-0.232710,1584543188.920085,-0
-0.290888,1584543189.017878,-0.119952
-0.290888,1584543189.117852,-0.113951
-0.290888,1584543189.220056,-0.0599762
-0.232710,1584543189.318229,-0.0509744
-0.290888,1584543189.417775,-0.0419816
-0.261799,1584543189.518133,-0.0299881
-0.232710,1584543189.618813,-0.0299881
-0.174533,1584543189.725021,-0.0299881
-0.290888,1584543189.818041,-0.0329798
-0.290888,1584543189.918400,-0.0329798
-0.232710,1584543190.018678,-0.125954
-0.203622,1584543190.117855,-0.176937
-0.116355,1584543190.220400,-0.191931
-0.261799,1584543190.317692,-0.2639
-0.174533,1584543190.417817,-0.290888
-0.174533,1584543190.517775,-0.290888
-0.174533,1584543190.618199,-0.275894
-0.116355,1584543190.719964,-0.173936
-0.290888,1584543190.817690,-0.101958
-0.232710,1584543190.917447,-0.137947
-0.058178,1584543191.017802,-0.140948
-0.174533,1584543191.117637,-0.0359804
-0.058178,1584543191.219853,-0
0.029089,1584543191.317862,-0
0.000000,1584543191.417604,0.188939
0.029089,1584543191.517409,-0
0.000000,1584543191.618173,-0
-0.145444,1584543191.719585,-0
-0.087266,1584543191.817399,-0
-0.116355,1584543191.920859,-0
-0.145444,1584543192.017861,-0
-0.145444,1584543192.117222,-0
-0.174533,1584543192.219876,-0
-0.232710,1584543192.317436,-0.0959654
-0.232710,1584543192.417111,-0
-0.116355,1584543192.517427,-0
-0.058178,1584543192.618050,-0
-0.116355,1584543192.719427,-0
-0.145444,1584543192.817229,-0
-0.174533,1584543192.917064,-0
-0.029089,1584543193.017201,-0
-0.029089,1584543193.117295,-0
0.000000,1584543193.219238,-0
-0.029089,1584543193.316964,-0
-0.058178,1584543193.417187,-0
0.058178,1584543193.517127,-0
0.058178,1584543193.617877,-0
0.087266,1584543193.719389,-0
0.058178,1584543193.816911,-0
0.058178,1584543193.916881,-0
0.145444,1584543194.017049,0.143957
0.145444,1584543194.116856,-0
0.203622,1584543194.219092,-0
0.116355,1584543194.316962,-0
0.087266,1584543194.416762,-0
0.058178,1584543194.516752,-0
0.058178,1584543194.617581,-0
0.029089,1584543194.718887,0.290888
0.058178,1584543194.817306,-0
-0.029089,1584543194.917033,-0
-0.058178,1584543195.016665,-0
-0.203622,1584543195.116661,-0
-0.232710,1584543195.218912,-0
-0.261799,1584543195.316599,-0.014994
-0.261799,1584543195.416579,-0.00599229
-0.261799,1584543195.519407,-0.0959654
-0.261799,1584543195.620548,-0.113951
-0.232710,1584543195.718871,-0.242905
-0.174533,1584543195.816876,-0.242905
-0.290888,1584543195.916667,-0.236913
-0.203622,1584543196.016478,-0.191931
-0.290888,1584543196.116667,-0.0989571
-0.203622,1584543196.218536,-0.0509744
-0.087266,1584543196.316665,-0
-0.261799,1584543196.418935,-0.140948
-0.232710,1584543196.617637,-0.143948
-0.058178,1584543196.718916,-0.281895
-0.290888,1584543196.816352,-0.290888
-0.203622,1584543196.916345,-0.290888
-0.203622,1584543197.016465,-0.290888
-0.203622,1584543197.116323,-0.290888
-0.290888,1584543197.218552,-0.290888
-0.203622,1584543197.316664,-0
-0.261799,1584543197.416178,-0
-0.203622,1584543197.516275,-0
0.058178,1584543197.617017,-0
0.087266,1584543197.718160,0.290888
0.116355,1584543197.816267,-0
0.000000,1584543197.916280,-0
-0.116355,1584543198.018981,-0
-0.232710,1584543198.116235,-0
-0.116355,1584543198.218619,-0
-0.116355,1584543198.316001,-0
-0.145444,1584543198.416002,-0
-0.145444,1584543198.516214,-0
-0.174533,1584543198.616632,-0
-0.145444,1584543198.717999,-0.152941
-0.145444,1584543198.819659,-0
-0.174533,1584543198.918215,-0
-0.145444,1584543199.016267,-0.0239869
-0.145444,1584543199.116210,-0
-0.174533,1584543199.217930,-0
-0.174533,1584543199.316048,-0
-0.058178,1584543199.416428,-0
-0.087266,1584543199.515803,-0
-0.029089,1584543199.616422,-0
-0.029089,1584543199.718439,-0
-0.029089,1584543199.815800,-0
0.000000,1584543199.916003,-0
-0.058178,1584543200.015983,-0
-0.058178,1584543200.115991,-0
-0.058178,1584543200.217899,-0.104958
-0.174533,1584543200.316310,-0.14994
-0.174533,1584543200.418744,-0
-0.174533,1584543200.516207,-0
-0.116355,1584543200.617192,-0.0509744
-0.145444,1584543200.718154,-0.00299171
-0.174533,1584543200.815680,-0
-0.203622,1584543200.915873,-0
-0.203622,1584543201.015503,-0
-0.232710,1584543201.115635,-0
-0.203622,1584543201.221473,-0.170936
-0.174533,1584543201.316673,-0.110959
-0.145444,1584543201.415522,-0
-0.261799,1584543201.515709,-0.0179858
-0.232710,1584543201.616118,-0.0599762
-0.203622,1584543201.717776,-0.0599762
-0.203622,1584543201.816091,-0.0899643
-0.174533,1584543201.916255,-0.0899643
-0.116355,1584543202.018843,-0.0809625
-0.058178,1584543202.115436,-0.14994
-0.290888,1584543202.217633,-0.164934
-0.290888,1584543202.315380,-0.128954
-0.232710,1584543202.415658,-0.125954
-0.174533,1584543202.515532,-0.125954
-0.116355,1584543202.616413,-0.125954
-0.290888,1584543202.717554,-0.104958
-0.261799,1584543202.815545,-0.0599762
-0.203622,1584543202.915168,-0.0479827
-0.174533,1584543203.015539,-0.0359804
-0.290888,1584543203.115262,-0.00299171
-0.290888,1584543203.217441,-0
-0.261799,1584543203.315333,-0
-0.261799,1584543203.415176,-0
-0.232710,1584543203.515024,-0
-0.232710,1584543203.615812,-0
-0.203622,1584543203.716842,-0.0119935
-0.203622,1584543203.814951,-0.113951
-0.174533,1584543203.915103,-0.0569756
-0.145444,1584543204.014914,-0
-0.290888,1584543204.114905,-0.116952
